,price,mileage,registration_date,engine_power,brand,model,registration_year,colour,type,fuel_type,is_after_accident,engine_size
0,"
€ 3.900,-
",52.000 km,12/2008,57 kW,Hyundai,i20,2008,Rot,Limousine,Super 95,"
09/2019
","
1.248 cm³
"
1,"
€ 4.785,-
",89.111 km,09/2008,57 kW,Hyundai,i20,2008,Rot,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
2,"
€ 6.990,-
",107.000 km,01/2008,74 kW,Hyundai,i20,2008,Schwarz,Kleinwagen,Super 95,,no_data
3,"
€ 7.777,-
",104.000 km,03/2009,74 kW,Hyundai,i20,2009,Blau,Limousine,Benzin,no_data_about_accident,"
1.396 cm³
"
4,"
€ 4.440,-
",128.800 km,08/2009,57 kW,Hyundai,i20,2009,Blau,Kleinwagen,Super 95,no_data_about_accident,no_data
5,"
€ 4.590,-
",84.147 km,03/2009,57 kW,Hyundai,i20,2009,Silber,Limousine,Super 95,,"
1.248 cm³
"
6,"
€ 1.750,-
",198.000 km,08/2009,57 kW,Hyundai,i20,2009,Silber,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
7,"
€ 1.750,-
",153.900 km,08/2009,57 kW,Hyundai,i20,2009,Schwarz,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
8,"
€ 1.990,-
",182.000 km,05/2009,57 kW,Hyundai,i20,2009,Rot,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
9,"
€ 1.990,-
",170.117 km,09/2009,57 kW,Hyundai,i20,2009,Grau,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
10,"
€ 1.990,-
",211.812 km,03/2009,57 kW,Hyundai,i20,2009,Schwarz,Limousine,Benzin,,"
1.248 cm³
"
11,"
€ 1.999,-
",140.000 km,07/2009,57 kW,Hyundai,i20,2009,Blau,Kleinwagen,Benzin,,"
1.248 cm³
"
12,"
€ 2.299,-
",86.000 km,09/2009,74 kW,Hyundai,i20,2009,Rot,Kleinwagen,Super 95,no_data_about_accident,no_data
13,"
€ 2.300,-
",110.000 km,08/2009,74 kW,Hyundai,i20,2009,Gold,Limousine,Benzin,,"
1.396 cm³
"
14,"
€ 2.399,-
",193.700 km,02/2009,57 kW,Hyundai,i20,2009,Limousine,Schaltgetriebe,,no_data_about_accident,no_data
15,"
€ 2.500,-
",115.256 km,11/2009,57 kW,Hyundai,i20,2009,Silber,Limousine,Benzin,,"
1.248 cm³
"
16,"
€ 2.600,-
",143.480 km,07/2009,57 kW,Hyundai,i20,2009,Rot,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
17,"
€ 2.700,-
",123.716 km,09/2009,57 kW,Hyundai,i20,2009,Weiß,Limousine,Benzin,,"
1.248 cm³
"
18,"
€ 2.780,-
",99.052 km,02/2009,57 kW,Hyundai,i20,2009,Rot,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
19,"
€ 3.000,-
",140.000 km,05/2009,57 kW,Hyundai,i20,2009,Weiß,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
20,"
€ 3.000,-
",123.784 km,10/2009,55 kW,Hyundai,i20,2009,Rot,Limousine,Diesel (Rußpartikelfilter),no_data_about_accident,"
1.398 cm³
"
21,"
€ 3.100,-
",135.140 km,03/2009,74 kW,Hyundai,i20,2009,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.396 cm³
"
22,"
€ 3.150,-
",142.123 km,10/2009,57 kW,Hyundai,i20,2009,Weiß,Kleinwagen,Super 95,no_data_about_accident,no_data
23,"
€ 3.300,-
",90.160 km,03/2009,57 kW,Hyundai,i20,2009,Rot,Limousine,Benzin,no_data_about_accident,no_data
24,"
€ 3.300,-
",93.000 km,11/2009,57 kW,Hyundai,i20,2009,Rot,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
25,"
€ 3.350,-
",120.000 km,09/2009,74 kW,Hyundai,i20,2009,Blau,Kleinwagen,Super E10 95 / Normal/Benzin 91 / Super Plus E10 98 / Super 95 / Super Plus 98 / Normal/Benzin E10 91,,"
1.396 cm³
"
26,"
€ 3.390,-
",87.000 km,02/2009,57 kW,Hyundai,i20,2009,Rot,Kleinwagen,Super 95,,no_data
27,"
€ 3.490,-
",41.300 km,09/2009,57 kW,Hyundai,i20,2009,Grün,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
28,"
€ 3.490,-
",149.808 km,08/2009,57 kW,Hyundai,i20,2009,Rot,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
29,"
€ 3.499,-
",108.000 km,05/2009,57 kW,Hyundai,i20,2009,Grau,Limousine,Super 95,,"
1.248 cm³
"
30,"
€ 3.500,-
",111.300 km,09/2009,74 kW,Hyundai,i20,2009,Blau,Limousine,Benzin,no_data_about_accident,"
1.396 cm³
"
31,"
€ 3.500,-
",118.000 km,06/2009,57 kW,Hyundai,i20,2009,Weiß,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
32,"
€ 3.699,-
",73.547 km,05/2009,57 kW,Hyundai,i20,2009,Grau,Limousine,Benzin,no_data_about_accident,no_data
33,"
€ 3.700,-
",89.980 km,05/2009,57 kW,Hyundai,i20,2009,Weiß,Limousine,Super 95,,"
1.248 cm³
"
34,"
€ 3.750,-
",148.284 km,05/2009,57 kW,Hyundai,i20,2009,Silber,Kleinwagen,Benzin,no_data_about_accident,"
4
"
35,"
€ 3.790,-
",110.300 km,10/2009,74 kW,Hyundai,i20,2009,Grün,Limousine,Benzin,,no_data
36,"
€ 3.850,-
",125.000 km,07/2009,57 kW,Hyundai,i20,2009,Grün,Limousine,Benzin,no_data_about_accident,no_data
37,"
€ 3.890,-
",120.334 km,11/2009,74 kW,Hyundai,i20,2009,Grün,Kleinwagen,Super 95,no_data_about_accident,no_data
38,"
€ 3.950,-
",108.200 km,02/2009,57 kW,Hyundai,i20,2009,Rot,Kleinwagen,Super 95,,no_data
39,"
€ 3.990,-
",116.150 km,05/2009,74 kW,Hyundai,i20,2009,Grau,Kleinwagen,Super 95,no_data_about_accident,"
1.396 cm³
"
40,"
€ 3.990,-
",108.701 km,06/2009,57 kW,Hyundai,i20,2009,Blau,Limousine,Benzin,,"
1.248 cm³
"
41,"
€ 3.990,-
",99.847 km,09/2009,57 kW,Hyundai,i20,2009,Silber,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
42,"
€ 3.999,-
",113.000 km,06/2009,57 kW,Hyundai,i20,2009,Grau,Limousine,Benzin,,no_data
43,"
€ 3.999,-
",122.000 km,11/2009,57 kW,Hyundai,i20,2009,Schwarz,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
44,"
€ 4.000,-
",67.500 km,07/2009,57 kW,Hyundai,i20,2009,Weiß,Limousine,Benzin,,"
1.248 cm³
"
45,"
€ 4.199,-
",75.000 km,05/2009,57 kW,Hyundai,i20,2009,Grau,Limousine,Benzin,,"
1.248 cm³
"
46,"
€ 4.444,-
",119.224 km,06/2009,74 kW,Hyundai,i20,2009,Grau,Limousine,Benzin,no_data_about_accident,no_data
47,"
€ 4.450,-
",59.700 km,12/2009,74 kW,Hyundai,i20,2009,Kleinwagen,Schaltgetriebe,,no_data_about_accident,"
1.396 cm³
"
48,"
€ 4.450,-
",124.576 km,02/2009,74 kW,Hyundai,i20,2009,Rot,Limousine,Benzin,,no_data
49,"
€ 4.750,-
",87.000 km,07/2009,57 kW,Hyundai,i20,2009,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
50,,119.000 km,03/2009,74 kW,Hyundai,i20,2009,Silber,Limousine,Super 95,,no_data
51,"
€ 4.990,-
",49.000 km,08/2009,74 kW,Hyundai,i20,2009,Silber,Limousine,Benzin,"
08/2020
","
1.396 cm³
"
52,"
€ 4.990,-
",81.270 km,03/2009,57 kW,Hyundai,i20,2009,Rot,Limousine,Super 95,no_data_about_accident,no_data
53,"
€ 4.999,-
",119.000 km,02/2009,57 kW,Hyundai,i20,2009,Schwarz,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
54,"
€ 5.000,-
",74.000 km,07/2009,57 kW,Hyundai,i20,2009,Weiß,Limousine,Benzin,,"
1.248 cm³
"
55,"
€ 5.000,-
",98.000 km,10/2009,57 kW,Hyundai,i20,2009,Blau,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
56,"
€ 5.990,-
",48.183 km,07/2009,74 kW,Hyundai,i20,2009,Grau,Limousine,Super 95,,"
1.396 cm³
"
57,"
€ 4.990,-
",79.826 km,12/2010,57 kW,Hyundai,i20,2010,Schwarz,Kleinwagen,Super 95,no_data_about_accident,no_data
58,"
€ 2.900,-
",110.779 km,11/2010,57 kW,Hyundai,i20,2010,Rot,Limousine,Super 95,no_data_about_accident,"
1.248 cm³
"
59,"
€ 5.900,-
",24.500 km,10/2010,57 kW,Hyundai,i20,2010,Weiß,Kleinwagen,Super 95,no_data_about_accident,no_data
60,"
€ 1.600,-
",194.000 km,01/2010,57 kW,Hyundai,i20,2010,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
61,"
€ 2.480,-
",187.500 km,07/2010,55 kW,Hyundai,i20,2010,Grau,Limousine,Diesel (Rußpartikelfilter),no_data_about_accident,"
1.396 cm³
"
62,"
€ 2.600,-
",168.000 km,10/2010,66 kW,Hyundai,i20,2010,Silber,Limousine,Diesel (Rußpartikelfilter),no_data_about_accident,no_data
63,"
€ 2.600,-
",149.960 km,02/2010,57 kW,Hyundai,i20,2010,Schwarz,Kleinwagen,Benzin,no_data_about_accident,"
1.248 cm³
"
64,"
€ 2.700,-
",169.000 km,10/2010,57 kW,Hyundai,i20,2010,Weiß,Kleinwagen,Super 95,no_data_about_accident,"
Front
"
65,"
€ 2.750,-
",198.400 km,08/2010,57 kW,Hyundai,i20,2010,Schwarz,Kleinwagen,Super 95 (Rußpartikelfilter),no_data_about_accident,no_data
66,"
€ 2.790,-
",127.500 km,03/2010,57 kW,Hyundai,i20,2010,Grau,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
67,"
€ 2.800,-
",67.000 km,12/2010,57 kW,Hyundai,i20,2010,Blau,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
68,"
€ 2.850,-
",170.000 km,09/2010,57 kW,Hyundai,i20,2010,Rot,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
69,"
€ 2.900,-
",122.820 km,07/2010,57 kW,Hyundai,i20,2010,Rot,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
70,"
€ 2.980,-
",149.863 km,08/2010,57 kW,Hyundai,i20,2010,Grün,Kleinwagen,Super 95,no_data_about_accident,no_data
71,"
€ 2.999,-
",153.460 km,08/2010,57 kW,Hyundai,i20,2010,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
72,"
€ 2.999,-
",145.000 km,02/2010,57 kW,Hyundai,i20,2010,Rot,Kleinwagen,Benzin,no_data_about_accident,no_data
73,"
€ 3.000,-
",103.000 km,10/2010,57 kW,Hyundai,i20,2010,Blau,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
74,"
€ 3.100,-
",162.000 km,10/2010,55 kW,Hyundai,i20,2010,Rot,Limousine,Diesel (Rußpartikelfilter),,"
1.396 cm³
"
75,"
€ 3.199,-
",76.000 km,08/2010,57 kW,Hyundai,i20,2010,Silber,Limousine,Benzin,,"
1.248 cm³
"
76,,114.500 km,03/2010,57 kW,Hyundai,i20,2010,Blau,Limousine,Benzin,,"
1.248 cm³
"
77,"
€ 3.390,-
",115.000 km,04/2010,57 kW,Hyundai,i20,2010,Rot,Limousine,Benzin,,no_data
78,"
€ 3.399,-
",119.997 km,10/2010,57 kW,Hyundai,i20,2010,Schwarz,Limousine,Super 95,,"
1.248 cm³
"
79,"
€ 3.400,-
",100.000 km,09/2010,57 kW,Hyundai,i20,2010,Weiß,Limousine,Super 95,,no_data
80,"
€ 3.400,-
",76.866 km,05/2010,57 kW,Hyundai,i20,2010,Grau,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
81,"
€ 3.450,-
",126.000 km,06/2010,57 kW,Hyundai,i20,2010,Weiß,Limousine,Normal/Benzin 91 / Super 95,,"
1.248 cm³
"
82,"
€ 3.499,-
",90.000 km,03/2010,57 kW,Hyundai,i20,2010,Grau,Kleinwagen,Benzin,no_data_about_accident,"
1.248 cm³
"
83,"
€ 3.500,-
",109.000 km,08/2010,57 kW,Hyundai,i20,2010,Schwarz,Kleinwagen,Benzin,,no_data
84,"
€ 3.500,-
",107.000 km,03/2010,57 kW,Hyundai,i20,2010,Weiß,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
85,"
€ 3.880,-
",98.000 km,11/2010,57 kW,Hyundai,i20,2010,Rot,Kleinwagen,Flüssiggas/Autogas (LPG),no_data_about_accident,no_data
86,"
€ 3.890,-
",132.670 km,08/2010,57 kW,Hyundai,i20,2010,Schwarz,Limousine,Super 95,,"
1.248 cm³
"
87,"
€ 3.999,-
",86.300 km,09/2010,57 kW,Hyundai,i20,2010,Weiß,Limousine,Super E10 95 / Normal/Benzin 91 / Super Plus E10 98 / Super 95 / Super Plus 98 / Normal/Benzin E10 91,"
09/2020
","
1.248 cm³
"
88,"
€ 4.100,-
",87.000 km,06/2010,57 kW,Hyundai,i20,2010,Schwarz,Kleinwagen,Super 95,no_data_about_accident,no_data
89,"
€ 4.199,-
",82.000 km,05/2010,57 kW,Hyundai,i20,2010,Silber,Limousine,Benzin,,"
1.248 cm³
"
90,"
€ 4.300,-
",92.200 km,04/2010,57 kW,Hyundai,i20,2010,Grau,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
91,"
€ 4.600,-
",71.000 km,12/2010,57 kW,Hyundai,i20,2010,Silber,Limousine,Super 95,,"
1.248 cm³
"
92,"
€ 4.690,-
",70.000 km,01/2010,57 kW,Hyundai,i20,2010,Silber,Limousine,Normal/Benzin 91 / Super 95 / Super Plus 98,"
09/2020
","
1.248 cm³
"
93,"
€ 4.750,-
",127.383 km,03/2010,57 kW,Hyundai,i20,2010,Grün,Kleinwagen,Benzin,no_data_about_accident,no_data
94,"
€ 4.850,-
",78.450 km,02/2010,74 kW,Hyundai,i20,2010,Rot,Limousine,Normal/Benzin 91 / Normal/Benzin E10 91 / Super 95 / Super E10 95,,"
1.396 cm³
"
95,"
€ 4.950,-
",76.000 km,12/2010,57 kW,Hyundai,i20,2010,Schwarz,Limousine,Super 95,no_data_about_accident,"
1.248 cm³
"
96,"
€ 4.980,-
",48.000 km,06/2010,57 kW,Hyundai,i20,2010,Rot,Kleinwagen,Super 95,,"
1.248 cm³
"
97,"
€ 4.990,-
",45.800 km,10/2010,57 kW,Hyundai,i20,2010,Blau,Limousine,Super 95,no_data_about_accident,no_data
98,"
€ 4.990,-
",77.112 km,09/2010,57 kW,Hyundai,i20,2010,Schwarz,Kleinwagen,Super 95,,no_data
99,"
€ 4.999,-
",133.000 km,09/2010,57 kW,Hyundai,i20,2010,Silber,Limousine,Benzin,,"
1.248 cm³
"
100,"
€ 4.999,-
",69.200 km,01/2010,57 kW,Hyundai,i20,2010,Rot,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
101,"
€ 5.490,-
",100.000 km,03/2010,57 kW,Hyundai,i20,2010,Schwarz,Kleinwagen,Super 95,,"
1.248 cm³
"
102,"
€ 5.490,-
",100.000 km,03/2010,57 kW,Hyundai,i20,2010,Schwarz,Kleinwagen,Super 95,,"
1.248 cm³
"
103,"
€ 5.490,-
",51.990 km,09/2010,57 kW,Hyundai,i20,2010,Blau,Kleinwagen,Super 95,no_data_about_accident,no_data
104,"
€ 5.499,-
",60.000 km,01/2010,57 kW,Hyundai,i20,2010,Grün,Kleinwagen,Normal/Benzin 91 / Super 95,"
12 Monate
","
1.248 cm³
"
105,"
€ 5.990,-
",91.596 km,11/2010,74 kW,Hyundai,i20,2010,Silber,Kleinwagen,Super 95,,no_data
106,"
€ 10.555,-
",167.000 km,02/2010,57 kW,Hyundai,i20,2010,Blau,Limousine,Flüssiggas/Autogas (LPG),no_data_about_accident,"
1.248 cm³
"
107,"
€ 4.780,-
",100.000 km,04/2011,74 kW,Hyundai,i20,2011,Silber,Limousine,Benzin,,no_data
108,"
€ 4.200,-
",74.900 km,03/2011,57 kW,Hyundai,i20,2011,Silber,Kleinwagen,Normal/Benzin 91,no_data_about_accident,"
1.248 cm³
"
109,"
€ 2.450,-
",185.000 km,04/2011,57 kW,Hyundai,i20,2011,Silber,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
110,"
€ 2.490,-
",157.000 km,04/2011,57 kW,Hyundai,i20,2011,Rot,Kleinwagen,Super 95,,no_data
111,"
€ 2.900,-
",105.000 km,05/2011,57 kW,Hyundai,i20,2011,Weiß,Limousine,Super 95,no_data_about_accident,no_data
112,"
€ 3.000,-
",162.700 km,02/2011,57 kW,Hyundai,i20,2011,Schwarz,Limousine,Benzin,,no_data
113,"
€ 3.100,-
",103.500 km,07/2011,57 kW,Hyundai,i20,2011,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
114,"
€ 3.199,-
",128.000 km,08/2011,57 kW,Hyundai,i20,2011,Weiß,Limousine,Benzin,,no_data
115,"
€ 3.200,-
",159.000 km,02/2011,57 kW,Hyundai,i20,2011,Blau,Limousine,Super 95,no_data_about_accident,"
1.248 cm³
"
116,"
€ 3.299,-
",90.800 km,11/2011,57 kW,Hyundai,i20,2011,Weiß,Kleinwagen,Super 95,,no_data
117,"
€ 3.300,-
",100.000 km,02/2011,57 kW,Hyundai,i20,2011,Schwarz,Kleinwagen,Super 95,no_data_about_accident,no_data
118,"
€ 3.400,-
",104.000 km,04/2011,57 kW,Hyundai,i20,2011,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
119,"
€ 3.400,-
",130.100 km,06/2011,57 kW,Hyundai,i20,2011,Blau,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
120,"
€ 3.400,-
",130.100 km,08/2011,57 kW,Hyundai,i20,2011,Blau,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
121,"
€ 3.400,-
",174.000 km,11/2011,66 kW,Hyundai,i20,2011,Silber,Limousine,Diesel,,"
1.396 cm³
"
122,"
€ 3.450,-
",148.000 km,08/2011,57 kW,Hyundai,i20,2011,Grau,Limousine,Benzin,,"
1.248 cm³
"
123,"
€ 3.490,-
",150.000 km,07/2011,57 kW,Hyundai,i20,2011,Blau,Limousine,,no_data_about_accident,no_data
124,"
€ 3.490,-
",113.000 km,02/2011,57 kW,Hyundai,i20,2011,Silber,Kleinwagen,Super 95,,no_data
125,"
€ 3.490,-
",165.000 km,10/2011,57 kW,Hyundai,i20,2011,Blau,Limousine,Benzin,no_data_about_accident,no_data
126,"
€ 3.499,-
",91.000 km,02/2011,57 kW,Hyundai,i20,2011,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
127,"
€ 3.500,-
",103.300 km,08/2011,57 kW,Hyundai,i20,2011,Weiß,Limousine,Benzin,,"
1.248 cm³
"
128,"
€ 3.600,-
",95.000 km,12/2011,57 kW,Hyundai,i20,2011,Schwarz,Limousine,Benzin,,"
1.248 cm³
"
129,"
€ 3.650,-
",97.000 km,10/2011,57 kW,Hyundai,i20,2011,Rot,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
130,"
€ 3.650,-
",137.000 km,05/2011,57 kW,Hyundai,i20,2011,Blau,Limousine,Benzin,,"
1.248 cm³
"
131,"
€ 3.690,-
",50.500 km,04/2011,57 kW,Hyundai,i20,2011,Kleinwagen,Schaltgetriebe,,no_data_about_accident,"
Front
"
132,"
€ 3.750,-
",123.141 km,08/2011,57 kW,Hyundai,i20,2011,Weiß,Kleinwagen,Super 95,no_data_about_accident,"
1.248 cm³
"
133,"
€ 3.790,-
",97.137 km,06/2011,57 kW,Hyundai,i20,2011,Weiß,Kleinwagen,Benzin,no_data_about_accident,no_data
134,"
€ 3.899,-
",109.124 km,08/2011,57 kW,Hyundai,i20,2011,Schwarz,Limousine,Benzin,no_data_about_accident,"
1.248 cm³
"
135,"
€ 3.950,-
",151.414 km,11/2011,57 kW,Hyundai,i20,2011,Schwarz,Limousine,Super 95,no_data_about_accident,no_data
136,"
€ 3.990,-
",95.560 km,06/2011,57 kW,Hyundai,i20,2011,Schwarz,Limousine,Super 95 / Super E10 95,,"
1.248 cm³
"
137,"
€ 3.990,-
",195.634 km,12/2011,57 kW,Hyundai,i20,2011,Schwarz,Limousine,Benzin,,"
1.248 cm³
"
